City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,villa huidobro,-34.8383,-64.5869,16.16,92,100,4.86,AR,1728833521
115,tamanrasset,22.785,5.5228,32.95,11,0,6.17,DZ,1728833523
116,puerto ayora,-0.7393,-90.3518,22.98,89,98,2.24,EC,1728833524
117,iskateley,67.6803,53.1512,1.9,92,14,5.95,RU,1728833525
118,nha trang,12.25,109.1833,28.0,92,98,2.02,VN,1728833527
119,pingliang,35.5392,106.6861,13.81,80,0,1.6,CN,1728833231
120,college,64.8569,-147.8028,1.18,91,100,2.57,US,1728833529
121,dryden,49.7833,-92.7503,4.16,93,100,3.09,CA,1728833531
122,ulsteinvik,62.3432,5.8487,8.2,89,100,2.24,NO,1728833532
123,dien bien phu,21.3833,103.0167,21.37,99,39,1.1,VN,1728833533
124,lompoc,34.6391,-120.4579,15.38,90,100,1.79,US,1728833535
125,slupca,52.2873,17.8719,7.23,70,87,9.46,PL,1728833536
126,ravar,31.2656,56.8055,24.89,14,11,2.57,IR,1728833538
127,kaga bandoro,6.9896,19.1874,26.84,80,94,1.21,CF,1728833539
128,topraisar,44.0167,28.45,16.2,63,70,2.3,RO,1728833540
129,bubaque,11.2833,-15.8333,28.12,74,100,3.9,GW,1728833542
130,khandyga,62.6667,135.6,-8.37,96,91,0.8,RU,1728833543
131,gaspe,48.8334,-64.4819,11.95,62,75,6.17,CA,1728833544
132,tofol,5.3248,163.0078,29.28,69,66,6.4,FM,1728833546
133,dudinka,69.4058,86.1778,0.02,99,100,5.72,RU,1728833547
134,arteche,12.2645,125.4048,26.17,87,56,0.8,PH,1728833548
135,kristiansund,63.1115,7.732,9.36,89,75,1.54,NO,1728833550
136,ta`u,-14.2336,-169.5144,26.33,78,97,7.58,AS,1728833551
137,georgetown,5.4112,100.3354,27.96,88,40,4.12,MY,1728833553
138,kapuskasing,49.4169,-82.4331,4.0,70,20,4.12,CA,1728833554
139,yangjiang,21.85,111.9667,23.55,85,0,2.06,CN,1728833557
140,miasskoye,55.2784,61.8905,-2.3,90,45,1.3,RU,1728833558
141,hadibu,12.65,54.0333,27.61,64,93,0.5,YE,1728833559
142,prince albert,53.2001,-105.7677,-2.03,100,75,0.0,CA,1728833560
143,pont rouge,48.8833,-72.0825,6.06,66,100,3.9,CA,1728833562
144,cromwell,41.5951,-72.6454,14.09,66,20,2.06,US,1728833563
145,erdenet,49.0333,104.0833,-6.69,94,98,2.82,MN,1728833492
146,kralendijk,12.15,-68.2667,32.99,62,75,9.26,BQ,1728833351
147,ghanzi,-21.5667,21.7833,31.22,12,98,2.88,BW,1728833567
148,patacamaya,-17.2333,-67.9167,14.64,33,80,5.78,BO,1728833568
149,taro,-8.3862,115.28,24.0,96,50,0.27,ID,1728833043
150,lata,40.1629,-8.3327,26.38,48,49,3.9,PT,1728833571
151,baardheere,2.3446,42.2764,31.51,41,95,7.07,SO,1728833572
152,kalabo,-14.97,22.6814,31.09,20,72,1.73,ZM,1728833574
153,gwadar,25.1216,62.3254,27.71,69,91,2.46,PK,1728833575
154,garcia,25.8167,-100.5833,24.37,51,0,2.13,MX,1728833576
155,tarauaca,-8.1614,-70.7656,37.5,31,51,0.91,BR,1728833578
156,senillosa,-39.0,-68.4167,20.37,22,0,1.43,AR,1728833579
157,kuanda,56.3161,116.0806,-8.74,89,46,1.96,RU,1728833581
158,rio grande,-32.035,-52.0986,22.06,70,83,7.89,BR,1728833582
159,sao joao dos patos,-6.495,-43.7022,39.25,18,14,3.01,BR,1728833583
160,bluefields,12.0137,-83.7635,24.04,94,75,6.17,NI,1728833584
161,lihue,21.9789,-159.3672,22.58,95,69,3.77,US,1728833586
162,ketchikan,55.3422,-131.6461,10.26,87,100,5.14,US,1728833587
163,jamestown,42.097,-79.2353,11.12,100,100,1.54,US,1728833588
164,forster,-32.1667,152.5167,11.32,94,100,5.13,AU,1728833590
165,tazovsky,67.4667,78.7,1.78,88,100,11.4,RU,1728833591
166,luganville,-15.5333,167.1667,24.94,83,100,3.97,VU,1728833593
167,veraval,20.9,70.3667,28.29,82,99,2.2,IN,1728833594
168,naze,28.3667,129.4833,25.51,70,3,5.03,JP,1728833595
169,mount isa,-20.7333,139.5,17.87,88,8,0.0,AU,1728833597
170,yanykurgan,43.915,67.2481,8.78,59,100,5.85,KZ,1728833598
171,helston,50.1032,-5.2705,13.11,76,100,5.14,GB,1728833567
172,miri,4.4148,114.0089,27.08,94,40,2.06,MY,1728833600
173,atafu village,-8.5421,-172.5159,27.67,75,99,4.11,TK,1728833602
174,ubari,26.5921,12.7805,36.68,13,19,5.83,LY,1728833603
175,molochnyy,68.8539,33.0205,3.31,65,0,4.0,RU,1728833605
